,digraph,inter-key,uut,ddt,userNo
14216,nj,856,946,924,032
14217,ja,57,128,147,032
14218,av,84,158,155,032
14219,ve,58,148,132,032
14220,el,353,427,443,032
14221,ll,101,189,175,032
14222,le,73,167,161,032
14223,bo,48,126,127,032
14224,on,135,231,213,032
14225,no,123,207,219,032
14226,o1,551,641,635,032
14227,19,149,239,239,032
14228,98,260,334,350,032
14229,88,72,161,146,032
14230,ga,62,140,125,032
14231,ae,63,125,141,032
14232,et,141,219,203,032
14233,ta,0,156,78,032
14234,an,297,375,453,032
14235,nj,1594,1672,1672,032
14236,ja,47,125,125,032
14237,av,94,172,172,032
14238,ve,47,125,125,032
14239,el,344,406,422,032
14240,ll,79,157,141,032
14241,le,47,109,125,032
14242,bo,31,110,78,032
14243,on,140,218,219,032
14244,no,141,219,219,032
14245,o1,563,641,641,032
14246,19,172,250,250,032
14247,98,281,359,359,032
14248,88,94,156,172,032
14249,ga,82,140,141,032
14250,ae,64,122,122,032
14251,et,159,236,217,032
14252,ta,82,140,159,032
14253,an,267,327,325,032
14254,nj,769,846,829,032
14255,ja,138,234,215,032
14256,av,100,177,196,032
14257,ve,416,530,493,032
14258,el,230,289,344,032
14259,ll,100,177,159,032
14260,le,139,216,216,032
14261,bo,82,140,142,032
14262,on,156,234,214,032
14263,no,137,214,215,032
14264,o1,610,668,687,032
14265,19,231,308,289,032
14266,98,286,334,363,032
14267,88,113,190,161,032
14268,ga,101,160,172,032
14269,ae,63,122,122,032
14270,et,138,233,197,032
14271,ta,27,86,122,032
14272,an,304,381,363,032
14273,nj,766,844,843,032
14274,ja,100,196,178,032
14275,av,82,178,178,032
14276,ve,82,178,178,032
14277,el,267,326,363,032
14278,ll,119,196,178,032
14279,le,100,196,177,032
14280,bo,64,141,104,032
14281,on,156,233,233,032
14282,no,175,254,252,032
14283,o1,620,680,699,032
14284,19,192,252,252,032
14285,98,229,288,289,032
14286,88,83,160,142,032
14287,ga,64,141,141,032
14288,ae,63,140,140,032
14289,et,138,215,215,032
14290,ta,28,105,105,032
14291,an,359,436,436,032
14292,nj,767,825,844,032
14293,ja,120,197,178,032
14294,av,63,140,140,032
14295,ve,64,161,141,032
14296,el,285,343,382,032
14297,ll,119,172,177,032
14298,le,83,160,136,032
14299,bo,46,123,123,032
14300,on,156,215,233,032
14301,no,138,196,197,032
14302,o1,621,698,679,032
14303,19,194,271,271,032
14304,98,249,308,326,032
14305,88,74,177,133,032
14306,ga,64,141,141,032
14307,ae,63,140,140,032
14308,et,138,200,215,032
14309,ta,66,162,128,032
14310,an,303,362,399,032
14311,nj,960,1037,1019,032
14312,ja,101,160,178,032
14313,av,64,122,123,032
14314,ve,101,178,159,032
14315,el,322,382,399,032
14316,ll,100,178,160,032
14317,le,82,159,160,032
14318,bo,82,159,141,032
14319,on,138,215,215,032
14320,no,156,215,233,032
14321,o1,588,646,647,032
14322,19,212,271,270,032
14323,98,391,450,450,032
14324,88,101,160,160,032
14325,ga,62,125,140,032
14326,ae,47,125,110,032
14327,et,93,187,171,032
14328,ta,31,94,125,032
14329,an,266,328,329,032
14330,nj,734,781,796,032
14331,ja,94,172,141,032
14332,av,94,172,172,032
14333,ve,63,141,141,032
14334,el,328,375,406,032
14335,ll,93,172,140,032
14336,le,15,93,94,032
14337,bo,63,141,141,032
14338,on,109,187,187,032
14339,no,141,203,219,032
14340,o1,532,594,594,032
14341,19,188,235,250,032
14342,98,203,265,250,032
14343,88,78,156,140,032
14344,ga,63,103,140,032
14345,ae,82,141,122,032
14346,et,138,197,197,032
14347,ta,27,85,86,032
14348,an,341,374,399,032
14349,nj,672,750,705,032
14350,ja,47,125,125,032
14351,av,141,172,219,032
14352,ve,63,141,94,032
14353,el,312,375,390,032
14354,ll,94,156,157,032
14355,le,63,125,125,032
14356,bo,93,156,156,032
14357,on,156,219,219,032
14358,no,125,187,188,032
14359,o1,516,578,578,032
14360,19,188,250,250,032
14361,98,203,250,265,032
14362,88,78,156,125,032
14363,ga,63,125,125,032
14364,ae,63,141,125,032
14365,et,109,187,187,032
14366,ta,47,110,125,032
14367,an,328,375,391,032
14368,nj,1015,1093,1062,032
14369,ja,79,157,157,032
14370,av,62,140,140,032
14371,ve,78,141,156,032
14372,el,344,406,407,032
14373,ll,78,172,140,032
14374,le,31,94,125,032
14375,bo,93,156,140,032
14376,on,125,203,188,032
14377,no,141,219,219,032
14378,o1,515,562,593,032
14379,19,188,266,235,032
14380,98,203,265,281,032
14381,88,79,141,141,032
14382,ga,78,141,156,032
14383,ae,62,140,125,032
14384,et,125,219,203,032
14385,ta,47,125,141,032
14386,an,313,360,391,032
14387,nj,718,796,765,032
14388,ja,94,172,172,032
14389,av,63,125,141,032
14390,ve,78,172,140,032
14391,el,266,328,360,032
14392,ll,78,157,140,032
14393,le,93,171,172,032
14394,bo,125,204,171,032
14395,on,156,218,235,032
14396,no,157,235,219,032
14397,o1,578,640,656,032
14398,19,188,250,250,032
14399,98,250,313,312,032
14400,88,94,172,157,032
14401,ya,504,624,558,066
14402,as,114,195,234,066
14403,ss,76,235,157,066
14404,si,-43,41,116,066
14405,ir,153,273,237,066
14406,ki,75,157,157,066
14407,ik,114,195,196,066
14408,ko,115,196,196,066
14409,ou,114,196,195,066
14410,ya,39,161,120,066
14411,as,76,196,198,066
14412,ss,37,162,157,066
14413,si,-47,54,78,066
14414,ir,153,273,254,066
14415,ki,76,157,157,066
14416,ik,115,196,196,066
14417,ko,76,157,157,066
14418,ou,153,235,234,066
14419,ya,39,161,119,066
14420,as,76,196,198,066
14421,ss,75,196,195,066
14422,si,-43,40,78,066
14423,ir,153,282,236,066
14424,ki,76,158,157,066
14425,ik,114,195,196,066
14426,ko,76,196,157,066
14427,ou,114,196,234,066
14428,ya,38,158,118,066
14429,as,76,157,196,066
14430,ss,76,196,157,066
14431,si,-42,41,78,066
14432,ir,153,312,236,066
14433,ki,76,157,196,066
14434,ik,88,170,169,066
14435,ko,90,187,172,066
14436,ou,114,234,211,066
14437,ya,38,119,118,066
14438,as,76,196,157,066
14439,ss,37,158,157,066
14440,si,-43,40,78,066
14441,ir,153,273,236,066
14442,ki,75,157,157,066
14443,ik,114,196,196,066
14444,ko,75,157,157,066
14445,ou,152,234,234,066
14446,ya,38,158,157,066
14447,as,76,157,196,066
14448,ss,76,195,157,066
14449,si,4,55,123,066
14450,ir,153,273,204,066
14451,ki,114,195,196,066
14452,ik,192,312,273,066
14453,ko,76,157,196,066
14454,ou,125,245,206,066
14455,ya,38,158,118,066
14456,as,76,157,196,066
14457,ss,76,197,157,066
14458,si,-43,40,78,066
14459,ir,115,273,198,066
14460,ki,76,196,157,066
14461,ik,75,157,195,066
14462,ko,114,196,196,066
14463,ou,114,195,196,066
14464,ya,75,234,157,066
14465,as,76,157,235,066
14466,ss,76,195,157,066
14467,si,3,81,122,066
14468,ir,114,272,192,066
14469,ki,76,157,157,066
14470,ik,114,196,195,066
14471,ko,76,157,158,066
14472,ou,114,196,195,066
14473,ya,-6,116,116,066
14474,as,76,196,198,066
14475,ss,37,169,157,066
14476,si,3,80,135,066
14477,ir,153,273,230,066
14478,ki,115,196,196,066
14479,ik,114,196,195,066
14480,ko,76,157,158,066
14481,ou,114,196,195,066
14482,ya,38,158,118,066
14483,as,37,157,157,066
14484,ss,42,161,162,066
14485,si,3,83,122,066
14486,ir,112,271,192,066
14487,ki,76,158,157,066
14488,ik,75,157,157,066
14489,ko,75,195,157,066
14490,ou,115,196,235,066
14491,bo,140,247,226,092
14492,ou,85,214,192,092
14493,ur,-12,116,117,092
14494,rm,120,270,248,092
14495,me,251,363,401,092
14496,ea,59,176,171,092
14497,au,67,168,184,092
14498,ja,55,172,161,092
14499,ap,5,142,122,092
14500,po,-30,119,107,092
14501,on,83,201,232,092
14502,bo,-12,115,91,092
14503,ou,92,210,219,092
14504,ur,5,111,123,092
14505,rm,144,243,250,092
14506,me,102,218,201,092
14507,ea,38,180,154,092
14508,au,43,155,185,092
14509,ja,735,841,857,092
14510,ap,23,315,129,092
14511,po,-2,102,290,092
14512,on,7,119,111,092
14513,bo,1,81,122,092
14514,ou,105,184,185,092
14515,ur,127,245,206,092
14516,rm,213,315,331,092
14517,me,244,295,346,092
14518,ea,39,156,90,092
14519,au,24,182,141,092
14520,ja,115,306,382,092
14521,ap,0,126,191,092
14522,po,-33,116,93,092
14523,on,80,227,229,092
14524,bo,31,153,121,092
14525,ou,76,183,198,092
14526,ur,42,170,149,092
14527,rm,83,205,211,092
14528,me,101,223,223,092
14529,ea,49,188,171,092
14530,au,63,175,202,092
14531,ja,24,141,125,092
14532,ap,34,163,151,092
14533,po,-59,100,70,092
14534,on,88,205,247,092
14535,bo,41,153,121,092
14536,ou,96,207,208,092
14537,ur,82,160,193,092
14538,rm,426,444,504,092
14539,me,87,193,105,092
14540,ea,49,201,155,092
14541,au,26,127,178,092
14542,ja,3,11,256,092
14543,ap,2,124,10,092
14544,po,-46,103,76,092
14545,on,83,212,232,092
14546,bo,37,133,144,092
14547,ou,108,204,204,092
14548,ur,47,154,143,092
14549,rm,219,331,326,092
14550,me,56,190,168,092
14551,ea,15,181,149,092
14552,au,51,158,217,092
14553,ja,49,183,155,092
14554,ap,15,138,149,092
14555,po,-32,85,91,092
14556,on,87,220,204,092
14557,bo,55,172,140,092
14558,ou,84,185,201,092
14559,ur,54,172,155,092
14560,rm,568,570,686,092
14561,me,34,146,36,092
14562,ea,53,159,165,092
14563,au,47,143,153,092
14564,ja,108,263,215,092
14565,ap,43,171,198,092
14566,po,-32,122,96,092
14567,on,94,201,248,092
14568,bo,50,157,115,092
14569,ou,165,205,272,092
14570,ur,88,216,128,092
14571,rm,250,356,378,092
14572,me,180,228,286,092
14573,ea,63,169,111,092
14574,au,55,157,161,092
14575,ja,28,169,145,092
14576,ap,-1,121,140,092
14577,po,-43,107,79,092
14578,on,70,197,220,092
14579,bo,41,158,139,092
14580,ou,85,181,202,092
14581,ur,57,169,153,092
14582,rm,214,363,326,092
14583,me,33,140,182,092
14584,ea,42,172,149,092
14585,au,29,141,159,092
14586,ja,19,157,125,092
14587,ap,-11,138,127,092
14588,po,-43,85,106,092
14589,on,90,223,218,092
14590,bo,44,150,130,092
14591,ou,90,201,196,092
14592,ur,215,222,326,092
14593,rm,53,135,60,092
14594,me,73,201,155,092
14595,ea,10,165,138,092
14596,au,24,119,179,092
14597,ja,38,193,156,092
14598,ap,-49,90,106,092
14599,po,-36,214,103,092
14600,on,1,101,251,092
14601,bo,35,152,126,092
14602,ou,91,203,208,092
14603,ur,79,196,191,092
14604,rm,181,287,298,092
14605,me,86,209,192,092
14606,ea,79,217,202,092
14607,au,55,161,193,092
14608,ja,122,234,223,092
14609,ap,363,510,475,092
14610,po,-40,114,107,092
14611,on,77,189,231,092
14612,bo,90,181,139,092
14613,ou,67,183,158,092
14614,ur,75,197,191,092
14615,rm,83,225,205,092
14616,me,31,143,173,092
14617,ea,11,149,123,092
14618,au,23,124,161,092
14619,ja,39,156,162,092
14620,ap,5,144,122,092
14621,po,-43,120,96,092
14622,on,74,202,237,092
14623,bo,16,128,101,092
14624,ou,92,204,204,092
14625,ur,58,244,170,092
14626,rm,8,114,194,092
14627,me,80,190,186,092
14628,ea,45,151,155,092
14629,au,34,266,140,092
14630,ja,2,220,5,092
14631,ap,1,75,219,092
14632,po,-22,200,52,092
14633,on,1,86,223,092
14634,bo,39,161,118,092
14635,ou,102,188,224,092
14636,ur,59,159,145,092
14637,rm,112,235,212,092
14638,me,74,197,197,092
14639,ea,30,229,153,092
14640,au,-27,67,172,092
14641,ja,60,182,161,092
14642,ap,5,155,127,092
14643,po,-42,95,108,092
14644,on,80,197,217,092
14645,bo,33,150,97,092
14646,ou,81,198,198,092
14647,ur,16,123,133,092
14648,rm,143,239,250,092
14649,me,65,182,161,092
14650,ea,52,185,169,092
14651,au,24,141,157,092
14652,ja,49,161,155,092
14653,ap,11,142,123,092
14654,po,-41,108,90,092
14655,on,83,222,232,092
14656,bo,705,822,800,092
14657,ou,87,189,204,092
14658,ur,61,167,163,092
14659,rm,110,210,216,092
14660,me,55,172,155,092
14661,ea,38,171,155,092
14662,au,39,135,172,092
14663,ja,92,204,188,092
14664,ap,-27,118,85,092
14665,po,-11,100,134,092
14666,on,92,204,203,092
14667,bo,28,140,129,092
14668,ou,70,177,182,092
14669,ur,31,148,138,092
14670,rm,60,161,177,092
14671,me,83,210,184,092
14672,ea,49,188,176,092
14673,au,12,112,151,092
14674,ja,24,308,142,092
14675,ap,-5,3,279,092
14676,po,-2,70,6,092
14677,on,92,226,164,092
14678,bo,56,184,146,092
14679,ou,68,187,196,092
14680,ur,-12,127,107,092
14681,rm,106,200,245,092
14682,me,57,186,151,092
14683,ea,40,163,169,092
14684,au,44,224,167,092
14685,ja,97,225,203,092
14686,ap,5,149,133,092
14687,po,-53,106,91,092
14688,on,81,220,240,092
14689,bo,4,92,130,092
14690,ou,80,218,168,092
14691,ur,46,159,184,092
14692,rm,153,163,266,092
14693,me,64,165,74,092
14694,ea,27,171,128,092
14695,au,176,181,320,092
14696,ja,56,164,162,092
14697,ap,9,130,117,092
14698,po,-7,681,114,092
14699,on,1,2,689,092
14700,bo,66,184,145,092
14701,ou,71,172,189,092
14702,ur,61,194,162,092
14703,rm,324,419,457,092
14704,me,134,246,229,092
14705,ea,35,152,147,092
14706,au,73,164,190,092
14707,ja,81,188,182,092
14708,ap,61,156,168,092
14709,po,-28,96,67,092
14710,on,86,203,210,092
14711,bo,1,68,169,092
14712,ou,92,204,159,092
14713,ur,68,160,180,092
14714,rm,71,178,163,092
14715,me,214,235,321,092
14716,ea,34,194,55,092
14717,au,32,133,192,092
14718,ja,89,193,111,092
14719,ap,-14,103,90,092
14720,po,-26,123,91,092
14721,on,87,210,236,092
14722,bo,38,134,128,092
14723,ou,89,190,185,092
14724,ur,108,225,209,092
14725,rm,476,566,593,092
14726,me,90,212,180,092
14727,ea,16,176,138,092
14728,au,50,157,210,092
14729,ja,105,264,206,092
14730,ap,-26,108,133,092
14731,po,-38,106,96,092
14732,on,84,212,228,092
14733,bo,2,105,8,092
14734,ou,90,194,193,092
14735,ur,76,230,180,092
14736,rm,55,177,209,092
14737,me,163,212,285,092
14738,ea,49,166,98,092
14739,au,51,147,168,092
14740,ja,59,163,171,092
14741,ap,31,343,135,092
14742,po,-2,1,310,092
14743,on,40,133,43,092
14744,bo,34,135,124,092
14745,ou,71,162,172,092
14746,ur,59,182,150,092
14747,rm,71,182,194,092
14748,me,49,150,160,092
14749,ea,32,165,133,092
14750,au,30,181,163,092
14751,ja,55,189,150,092
14752,ap,-11,121,123,092
14753,po,-21,112,111,092
14754,on,99,194,232,092
14755,bo,-25,103,90,092
14756,ou,74,182,202,092
14757,ur,32,154,140,092
14758,rm,84,185,206,092
14759,me,60,177,161,092
14760,ea,16,160,133,092
14761,au,39,140,183,092
14762,ja,-14,108,101,092
14763,ap,6,134,128,092
14764,po,-43,106,85,092
14765,on,71,198,220,092
14766,bo,24,147,104,092
14767,ou,68,190,191,092
14768,ur,32,151,154,092
14769,rm,848,966,967,092
14770,me,45,156,163,092
14771,ea,39,156,150,092
14772,au,65,166,182,092
14773,ja,-11,103,115,092
14774,ap,11,155,125,092
14775,po,-59,101,85,092
14776,on,95,217,255,092
14777,bo,31,186,137,092
14778,ou,115,211,270,092
14779,ur,16,274,112,092
14780,rm,249,377,507,092
14781,me,255,410,383,092
14782,ea,83,231,238,092
14783,au,-15,102,133,092
14784,ja,16,160,112,092
14785,ap,-21,117,123,092
14786,po,-32,101,106,092
14787,on,85,218,218,092
14788,bo,81,169,161,092
14789,ou,82,199,170,092
14790,ur,34,162,151,092
14791,rm,110,243,238,092
14792,me,257,376,390,092
14793,ea,33,161,152,092
14794,au,33,145,161,092
14795,ja,59,178,171,092
14796,ap,-12,142,107,092
14797,po,-42,101,112,092
14798,on,87,210,230,092
14799,bo,78,141,158,092
14800,ou,88,188,151,092
14801,ur,172,203,272,092
14802,rm,62,209,93,092
14803,me,43,139,190,092
14804,ea,55,161,151,092
14805,au,57,245,163,092
14806,ja,63,139,174,092
14807,ap,10,138,86,092
14808,po,-37,134,91,092
14809,on,81,219,252,092
14810,bo,25,142,137,092
14811,ou,104,200,221,092
14812,ur,74,175,170,092
14813,rm,225,321,326,092
14814,me,91,371,187,092
14815,ea,1,3,281,092
14816,au,121,129,123,092
14817,ja,70,210,176,092
14818,ap,-12,97,128,092
14819,po,-29,109,80,092
14820,on,83,206,221,092
14821,gu,3,81,85,059
14822,ui,116,199,194,059
14823,in,37,120,120,059
14824,ni,37,123,120,059
14825,in,-6,78,80,059
14826,al,37,120,120,059
14827,lg,77,159,160,059
14828,g9,155,304,237,059
14829,90,-6,79,143,059
14830,02,76,201,161,059
14831,20,-6,117,119,059
14832,gu,36,115,114,059
14833,ui,73,152,152,059
14834,in,36,78,115,059
14835,ni,73,152,115,059
14836,in,-41,40,38,059
14837,al,36,78,115,059
14838,lg,81,160,123,059
14839,g9,223,377,302,059
14840,90,-42,39,112,059
14841,02,111,226,192,059
14842,20,-40,77,75,059
14843,gu,32,112,120,059
14844,ui,112,200,192,059
14845,in,56,128,144,059
14846,ni,24,112,96,059
14847,in,-8,80,80,059
14848,al,312,400,399,059
14849,lg,752,840,840,059
14850,g9,128,256,216,059
14851,90,-56,72,72,059
14852,02,104,240,232,059
14853,20,8,56,144,059
14854,gu,32,112,96,059
14855,ui,96,176,176,059
14856,in,80,128,160,059
14857,ni,24,88,72,059
14858,in,1,80,65,059
14859,al,40,128,128,059
14860,lg,64,144,152,059
14861,g9,344,496,424,059
14862,90,-40,88,112,059
14863,02,184,280,312,059
14864,20,-24,96,72,059
14865,gu,35,114,114,059
14866,ui,110,189,189,059
14867,in,36,115,115,059
14868,ni,35,117,114,059
14869,in,-6,37,76,059
14870,al,73,152,152,059
14871,lg,110,189,189,059
14872,g9,185,303,264,059
14873,90,-6,75,112,059
14874,02,147,229,228,059
14875,20,-6,112,76,059
14876,gu,113,194,193,059
14877,ui,75,155,156,059
14878,in,37,118,117,059
14879,ni,36,117,117,059
14880,in,-42,41,39,059
14881,al,112,193,193,059
14882,lg,113,194,194,059
14883,g9,227,423,308,059
14884,90,-81,40,115,059
14885,02,114,270,235,059
14886,20,-42,40,114,059
14887,gu,75,156,126,059
14888,ui,75,156,156,059
14889,in,37,118,118,059
14890,ni,37,120,118,059
14891,in,-6,49,77,059
14892,al,37,159,118,059
14893,lg,-6,76,116,059
14894,g9,268,426,350,059
14895,90,-43,79,115,059
14896,02,75,215,197,059
14897,20,-63,79,77,059
14898,gu,37,118,118,059
14899,ui,113,194,194,059
14900,in,37,118,118,059
14901,ni,37,118,118,059
14902,in,-42,41,39,059
14903,al,3,80,122,059
14904,lg,122,241,199,059
14905,g9,152,233,271,059
14906,90,-43,79,38,059
14907,02,113,232,235,059
14908,20,-41,79,78,059
14909,gu,38,92,120,059
14910,ui,116,199,170,059
14911,in,48,131,131,059
14912,ni,37,120,120,059
14913,in,-43,42,40,059
14914,al,77,160,122,059
14915,lg,155,237,238,059
14916,g9,234,395,316,059
14917,90,-43,42,118,059
14918,02,116,222,201,059
14919,20,-6,118,100,059
14920,gu,3,78,119,059
14921,ui,73,189,148,059
14922,in,36,114,152,059
14923,ni,3,41,81,059
14924,in,36,143,74,059
14925,al,37,115,115,059
14926,lg,73,152,151,059
14927,g9,185,340,264,059
14928,90,-42,39,113,059
14929,02,111,226,192,059
14930,20,-40,114,75,059
14931,gu,36,117,117,059
14932,ui,75,194,156,059
14933,in,74,116,193,059
14934,ni,3,93,45,059
14935,in,-6,76,84,059
14936,al,36,117,117,059
14937,lg,113,155,194,059
14938,g9,228,385,270,059
14939,90,-42,79,115,059
14940,02,113,231,234,059
14941,20,-41,78,77,059
14942,gu,36,125,114,059
14943,ui,110,189,199,059
14944,in,73,115,152,059
14945,ni,35,117,77,059
14946,in,-6,74,76,059
14947,al,36,115,115,059
14948,lg,81,197,160,059
14949,g9,185,301,301,059
14950,90,-41,77,75,059
14951,02,110,263,228,059
14952,20,-40,77,113,059
14953,gu,76,159,168,059
14954,ui,116,198,199,059
14955,in,77,121,159,059
14956,ni,76,159,120,059
14957,in,-43,52,40,059
14958,al,3,82,85,059
14959,lg,194,276,273,059
14960,g9,155,317,237,059
14961,90,-44,41,118,059
14962,02,116,240,201,059
14963,20,-6,117,118,059
14964,gu,37,120,120,059
14965,ui,116,198,199,059
14966,in,77,120,159,059
14967,ni,38,123,81,059
14968,in,-6,79,79,059
14969,al,37,120,120,059
14970,lg,85,168,168,059
14971,g9,352,476,435,059
14972,90,-6,79,118,059
14973,02,115,240,200,059
14974,20,-7,117,118,059
14975,gu,36,88,123,059
14976,ui,110,189,162,059
14977,in,73,152,152,059
14978,ni,36,115,115,059
14979,in,-41,40,38,059
14980,al,35,77,114,059
14981,lg,110,189,152,059
14982,g9,223,415,302,059
14983,90,-42,39,150,059
14984,02,111,264,192,059
14985,20,-78,76,75,059
14986,gu,3,90,84,059
14987,ui,114,195,201,059
14988,in,37,118,118,059
14989,ni,36,120,117,059
14990,in,-6,77,78,059
14991,al,229,310,310,059
14992,lg,75,194,156,059
14993,g9,152,348,271,059
14994,90,-81,41,115,059
14995,02,113,235,235,059
14996,20,-6,98,116,059
14997,gu,-8,80,96,059
14998,ui,96,192,184,059
14999,in,48,128,144,059
15000,ni,24,112,104,059
15001,in,-8,72,80,059
15002,al,88,176,136,059
15003,lg,104,192,192,059
15004,g9,368,528,456,059
15005,90,-72,64,88,059
15006,02,120,232,256,059
15007,20,-64,96,48,059
15008,gu,24,88,104,059
15009,ui,112,176,176,059
15010,in,64,128,128,059
15011,ni,16,88,80,059
15012,in,-24,56,48,059
15013,al,57,136,137,059
15014,lg,136,216,215,059
15015,g9,208,368,288,059
15016,90,-48,48,112,059
15017,02,120,224,216,059
15018,20,-40,80,64,059
15019,gu,35,114,114,059
15020,ui,110,164,189,059
15021,in,73,152,127,059
15022,ni,3,80,82,059
15023,in,-6,75,71,059
15024,al,36,115,115,059
15025,lg,72,151,151,059
15026,g9,185,341,264,059
15027,90,-6,75,150,059
15028,02,73,225,154,059
15029,20,-40,77,112,059
15030,gu,16,88,88,059
15031,ui,104,176,176,059
15032,in,64,120,136,059
15033,ni,32,96,88,059
15034,in,-24,56,40,059
15035,al,24,88,96,059
15036,lg,88,168,152,059
15037,g9,264,408,344,059
15038,90,-40,72,104,059
15039,02,104,208,216,059
15040,20,-56,72,48,059
15041,gu,36,114,115,059
15042,ui,111,189,189,059
15043,in,73,152,151,059
15044,ni,36,117,115,059
15045,in,-6,75,75,059
15046,al,35,114,114,059
15047,lg,73,152,152,059
15048,g9,222,376,301,059
15049,90,-42,39,112,059
15050,02,111,263,192,059
15051,20,-40,77,112,059
15052,gu,73,152,152,059
15053,ui,85,201,164,059
15054,in,73,115,189,059
15055,ni,35,117,77,059
15056,in,-6,74,76,059
15057,al,73,189,154,059
15058,lg,73,152,189,059
15059,g9,222,377,301,059
15060,90,-6,96,149,059
15061,02,110,248,212,059
15062,20,-6,75,132,059
15063,gu,36,127,117,059
15064,ui,113,232,204,059
15065,in,75,155,194,059
15066,ni,37,82,117,059
15067,in,-6,76,39,059
15068,al,151,231,232,059
15069,lg,113,194,193,059
15070,g9,189,385,270,059
15071,90,-43,40,153,059
15072,02,151,269,234,059
15073,20,-41,117,77,059
15074,gu,77,160,159,059
15075,ui,116,198,199,059
15076,in,77,159,159,059
15077,ni,38,123,120,059
15078,in,-6,40,79,059
15079,al,38,81,121,059
15080,lg,116,238,159,059
15081,g9,155,277,277,059
15082,90,-43,81,79,059
15083,02,77,182,201,059
15084,20,-6,118,99,059
15085,gu,37,118,118,059
15086,ui,113,194,194,059
15087,in,37,118,118,059
15088,ni,36,120,117,059
15089,in,-6,77,78,059
15090,al,37,79,118,059
15091,lg,122,203,164,059
15092,g9,190,370,271,059
15093,90,-43,40,137,059
15094,02,114,271,197,059
15095,20,-42,79,115,059
15096,gu,32,128,128,059
15097,ui,80,176,176,059
15098,in,56,136,152,059
15099,ni,8,96,88,059
15100,in,-8,72,80,059
15101,al,608,688,688,059
15102,lg,16,96,96,059
15103,g9,296,416,376,059
15104,90,-64,64,56,059
15105,02,88,200,216,059
15106,20,-56,88,56,059
15107,gu,38,120,120,059
15108,ui,116,199,198,059
15109,in,37,120,120,059
15110,ni,37,121,120,059
15111,in,-44,41,40,059
15112,al,77,160,159,059
15113,lg,37,120,120,059
15114,g9,194,355,277,059
15115,90,-43,81,118,059
15116,02,116,198,240,059
15117,20,38,160,120,059
15118,gu,38,121,81,059
15119,ui,116,198,199,059
15120,in,38,81,120,059
15121,ni,38,123,81,059
15122,in,-6,79,79,059
15123,al,38,120,120,059
15124,lg,116,234,198,059
15125,g9,159,321,277,059
15126,90,-44,41,118,059
15127,02,116,201,201,059
15128,20,-6,117,79,059
15129,gu,36,117,125,059
15130,ui,75,155,156,059
15131,in,75,155,155,059
15132,ni,3,82,83,059
15133,in,-6,77,73,059
15134,al,3,42,121,059
15135,lg,112,193,151,059
15136,g9,304,424,385,059
15137,90,-43,78,77,059
15138,02,75,193,196,059
15139,20,-41,79,77,059
15140,gu,4,80,95,059
15141,ui,114,195,190,059
15142,in,36,117,117,059
15143,ni,3,82,84,059
15144,in,-6,77,73,059
15145,al,3,80,84,059
15146,lg,113,194,190,059
15147,g9,190,348,271,059
15148,90,-42,41,116,059
15149,02,113,270,196,059
15150,20,-41,79,116,059
15151,gu,37,118,155,059
15152,ui,74,155,155,059
15153,in,75,155,156,059
15154,ni,3,41,83,059
15155,in,37,118,75,059
15156,al,36,117,117,059
15157,lg,113,193,194,059
15158,g9,228,386,308,059
15159,90,-43,40,115,059
15160,02,151,269,234,059
15161,20,-41,79,77,059
15162,gu,16,88,104,059
15163,ui,88,160,160,059
15164,in,72,144,144,059
15165,ni,1,64,73,059
15166,in,1,72,64,059
15167,al,48,112,112,059
15168,lg,88,160,152,059
15169,g9,280,416,352,059
15170,90,-48,56,88,059
15171,02,121,216,225,059
15172,20,-32,72,63,059
15173,gu,7,87,95,059
15174,ui,120,200,200,059
15175,in,128,200,208,059
15176,ni,24,112,96,059
15177,in,18,96,106,059
15178,al,8,104,96,059
15179,lg,56,144,152,059
15180,g9,176,288,264,059
15181,90,-56,56,56,059
15182,02,96,208,208,059
15183,20,-32,88,80,059
15184,gu,36,115,115,059
15185,ui,110,189,189,059
15186,in,45,124,124,059
15187,ni,3,117,82,059
15188,in,-6,75,108,059
15189,al,36,152,152,059
15190,lg,73,152,189,059
15191,g9,222,376,301,059
15192,90,-42,77,112,059
15193,02,110,225,229,059
15194,20,-40,77,75,059
15195,gu,48,112,128,059
15196,ui,88,160,152,059
15197,in,112,176,184,059
15198,ni,1,56,65,059
15199,in,24,96,79,059
15200,al,80,160,125,059
15201,lg,72,136,152,059
15202,g9,288,424,352,059
15203,90,-32,64,104,059
15204,02,72,192,168,059
15205,20,-32,112,88,059
15206,gu,8,88,96,059
15207,ui,104,192,184,059
15208,in,96,160,184,059
15209,ni,-8,80,56,059
15210,in,16,104,104,059
15211,al,72,176,168,059
15212,lg,32,120,136,059
15213,g9,312,456,400,059
15214,90,-56,80,88,059
15215,02,104,216,240,059
15216,20,-80,96,32,059
15217,gu,37,120,119,059
15218,ui,116,201,199,059
15219,in,-6,79,79,059
15220,ni,37,160,122,059
15221,in,-44,41,79,059
15222,al,38,160,120,059
15223,lg,242,364,364,059
15224,g9,234,356,356,059
15225,90,37,81,159,059
15226,02,194,315,238,059
15227,20,-42,102,79,059
15228,gu,48,120,112,059
15229,ui,88,152,160,059
15230,in,112,176,176,059
15231,ni,1,72,65,059
15232,in,0,72,71,059
15233,al,96,176,184,059
15234,lg,40,104,120,059
